First Card,Second Card,Win Percentage,Tie Percentage,Loss Percentage
2♠,2♥,44.94,8.13,46.94
2♠,2♦,55.22,3.99,40.79
2♠,2♣,50.05,5.3,44.65
2♠,3♠,20.85,8.14,71.01
2♠,3♥,42.15,3.15,54.7
2♠,3♦,29.82,8.53,61.65
2♠,3♣,31.88,9.39,58.73
2♠,4♠,30.37,7.79,61.84
2♠,4♥,41.95,0.38,57.67
2♠,4♦,46.16,0.1,53.74
2♠,4♣,56.94,7.68,35.38
2♠,5♠,25.14,7.75,67.11
2♠,5♥,58.29,0.38,41.34
2♠,5♦,42.12,4.97,52.92
2♠,5♣,59.48,3.49,37.04
2♠,6♠,35.93,4.84,59.23
2♠,6♥,54.61,9.66,35.73
2♠,6♦,55.72,2.57,41.71
2♠,6♣,34.37,6.46,59.17
2♠,7♠,31.36,1.76,66.88
2♠,7♥,57.48,2.26,40.26
2♠,7♦,49.66,6.64,43.7
2♠,7♣,39.44,7.49,53.06
2♠,8♠,41.47,7.74,50.79
2♠,8♥,53.24,9.89,36.87
2♠,8♦,43.41,9.02,47.57
2♠,8♣,20.94,1.37,77.69
2♠,9♠,33.16,1.33,65.52
2♠,9♥,58.22,9.54,32.24
2♠,9♦,43.32,7.35,49.33
2♠,9♣,41.27,7.38,51.36
2♠,T♠,57.63,3.96,38.41
2♠,T♥,47.92,5.68,46.4
2♠,T♦,54.11,8.94,36.95
2♠,T♣,41.88,0.94,57.19
2♠,J♠,59.96,4.45,35.59
2♠,J♥,25.79,1.6,72.62
2♠,J♦,41.53,7.19,51.28
2♠,J♣,31.5,2.74,65.76
2♠,Q♠,21.14,0.88,77.98
2♠,Q♥,33.08,1.98,64.93
2♠,Q♦,25.4,3.42,71.18
2♠,Q♣,20.89,7.68,71.43
2♠,K♠,32.69,5.99,61.32
2♠,K♥,54.01,6.5,39.49
2♠,K♦,56.01,8.69,35.3
2♠,K♣,27.04,4.06,68.9
2♠,A♠,46.62,8.8,44.58
2♠,A♥,42.83,0.95,56.23
2♠,A♦,48.19,9.2,42.61
2♠,A♣,27.09,9.94,62.96
2♥,2♦,59.59,8.49,31.92
2♥,3♠,54.68,5.94,39.38
2♥,3♥,52.78,5.89,41.33
2♥,3♦,38.98,6.22,54.81
2♥,3♣,58.79,2.47,38.74
2♥,4♠,39.04,0.34,60.62
2♥,4♥,38.93,6.05,55.02
2♥,4♦,45.5,2.87,51.63
2♥,4♣,34.36,2.62,63.03
2♥,5♠,39.77,8.86,51.37
2♥,5♥,46.66,5.37,47.97
2♥,5♦,43.55,9.14,47.31
2♥,5♣,34.43,0.98,64.59
2♥,6♠,58.2,9.74,32.06
2♥,6♥,22.23,7.6,70.16
2♥,6♦,54.27,9.99,35.74
2♥,6♣,49.26,7.25,43.49
2♥,7♠,46.22,2.57,51.21
2♥,7♥,36.96,0.24,62.8
2♥,7♦,43.36,6.58,50.07
2♥,7♣,23.66,3.46,72.88
2♥,8♠,46.66,3.17,50.17
2♥,8♥,54.9,6.42,38.69
2♥,8♦,41.76,4.53,53.71
2♥,8♣,54.81,9.34,35.85
2♥,9♠,27.76,5.44,66.8
2♥,9♥,52.4,7.97,39.63
2♥,9♦,32.66,6.72,60.63
2♥,9♣,54.21,4.47,41.32
2♥,T♠,53.29,7.6,39.11
2♥,T♥,34.96,0.07,64.98
2♥,T♦,47.73,8.13,44.14
2♥,T♣,39.46,5.5,55.03
2♥,J♠,49.92,4.41,45.67
2♥,J♥,58.3,4.13,37.57
2♥,J♦,39.89,3.52,56.59
2♥,J♣,57.33,1.58,41.09
2♥,Q♠,59.96,6.26,33.79
2♥,Q♥,49.73,7.81,42.46
2♥,Q♦,23.49,2.23,74.29
2♥,Q♣,52.14,5.59,42.27
2♥,K♠,32.25,9.8,57.95
2♥,K♥,32.72,6.7,60.58
2♥,K♦,46.41,0.33,53.26
2♥,K♣,41.1,0.75,58.14
2♥,A♠,56.75,5.05,38.2
2♥,A♥,34.95,2.13,62.91
2♥,A♦,25.01,9.19,65.8
2♥,A♣,49.39,4.73,45.88
2♦,3♠,55.74,0.45,43.81
2♦,3♥,50.32,5.6,44.08
2♦,3♦,40.56,1.57,57.87
2♦,3♣,38.79,7.67,53.54
2♦,4♠,34.96,7.99,57.05
2♦,4♥,26.37,9.2,64.44
2♦,4♦,51.51,1.98,46.51
2♦,4♣,44.68,6.04,49.27
2♦,5♠,47.14,9.76,43.11
2♦,5♥,48.94,4.07,46.99
2♦,5♦,50.6,8.02,41.38
2♦,5♣,22.25,9.9,67.85
2♦,6♠,31.9,7.74,60.36
2♦,6♥,50.8,9.23,39.97
2♦,6♦,26.42,9.84,63.74
2♦,6♣,51.86,6.87,41.28
2♦,7♠,23.32,7.62,69.06
2♦,7♥,29.13,4.71,66.17
2♦,7♦,51.09,9.04,39.87
2♦,7♣,29.84,8.04,62.12
2♦,8♠,52.14,2.21,45.65
2♦,8♥,53.02,7.36,39.62
2♦,8♦,21.93,6.37,71.7
2♦,8♣,38.79,7.47,53.74
2♦,9♠,34.53,7.52,57.96
2♦,9♥,49.06,5.44,45.51
2♦,9♦,53.29,5.25,41.47
2♦,9♣,41.82,9.44,48.75
2♦,T♠,23.55,2.88,73.58
2♦,T♥,38.53,5.33,56.14
2♦,T♦,52.92,1.85,45.23
2♦,T♣,32.55,9.63,57.82
2♦,J♠,39.09,5.14,55.77
2♦,J♥,29.25,0.66,70.08
2♦,J♦,21.57,8.63,69.8
2♦,J♣,48.74,2.72,48.54
2♦,Q♠,47.88,0.34,51.78
2♦,Q♥,26.79,6.65,66.56
2♦,Q♦,50.19,0.61,49.2
2♦,Q♣,48.66,0.95,50.4
2♦,K♠,26.69,0.74,72.58
